[Symbols]

nth   paddr      vaddr      bind   type   size   lib name
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
4     0x001da4b0 0x001da4b0 WEAK   FUNC   9          cocos2d::CCSceneDelegate::willSwitchToScene(cocos2d::CCScene*)
5     0x001da4c0 0x001da4c0 GLOBAL FUNC   39         JNI_OnLoad
6     0x005daf20 0x005daf20 GLOBAL FUNC   24         cocos2d::JniHelper::setJavaVM(_JavaVM*)
7     0x001da4f0 0x001da4f0 GLOBAL FUNC   267        Java_org_cocos2dx_lib_Cocos2dxRenderer_nativeInit
8     0x00599dc0 0x00599dc0 GLOBAL FUNC   129        cocos2d::CCDirector::sharedDirector()
9     0x005ddb70 0x005ddb70 GLOBAL FUNC   121        cocos2d::ccGLInvalidateStateCache()
10    0x005de990 0x005de990 GLOBAL FUNC   136        cocos2d::CCShaderCache::sharedShaderCache()
11    0x005deab0 0x005deab0 GLOBAL FUNC   414        cocos2d::CCShaderCache::reloadDefaultShaders()
12    0x0059c250 0x0059c250 GLOBAL FUNC   5          cocos2d::ccDrawInit()
13    0x00604ea0 0x00604ea0 GLOBAL FUNC   27         cocos2d::CCTextureCache::reloadAllTextures()
14    0x005eb070 0x005eb070 GLOBAL FUNC   72         cocos2d::CCNotificationCenter::sharedNotificationCenter()
15    0x005eb730 0x005eb730 GLOBAL FUNC   254        cocos2d::CCNotificationCenter::postNotification(char const*, cocos2d::CCObject*)
16    0x0059a8f0 0x0059a8f0 GLOBAL FUNC   116        cocos2d::CCDirector::setGLDefaultValues()
17    0x005d5d90 0x005d5d90 GLOBAL FUNC   128        cocos2d::CCEGLView::sharedOpenGLView()
18    0x00802380 0x00802380 GLOBAL FUNC   154        operator new(unsigned int)
19    0x005d6410 0x005d6410 GLOBAL FUNC   35         cocos2d::CCApplication::CCApplication()
20    0x00b98520 0x00b99520 WEAK   OBJ    76         vtable for AppDelegate
21    0x005d6460 0x005d6460 GLOBAL FUNC   22         cocos2d::CCApplication::sharedApplication()
22    0x005d6440 0x005d6440 GLOBAL FUNC   27         cocos2d::CCApplication::run()
23    0x00800820 0x00800820 GLOBAL FUNC   38         operator delete(void*)
24    0x0097baf6 0x0097baf6 GLOBAL FUNC   168        _Unwind_Resume
25    0x00801910 0x00801910 GLOBAL FUNC   1407       __gxx_personality_v0
26    0x005915e0 0x005915e0 GLOBAL FUNC   18         cocos2d::CCPoint::CCPoint(float, float)
27    0x00591c70 0x00591c70 GLOBAL FUNC   18         cocos2d::CCSize::CCSize(float, float)
28    0x00592080 0x00592080 GLOBAL FUNC   99         cocos2d::CCRect::CCRect(float, float, float, float)
29    0x00b8fb00 0x00b90b00 WEAK   OBJ    12         vtable for cocos2d::CCSceneDelegate
30    0x00b8fb0c 0x00b90b0c WEAK   OBJ    8          typeinfo for cocos2d::CCSceneDelegate
31    0x00bda940 0x00bdb940 WEAK   OBJ    44         vtable for __cxxabiv1::__class_type_info
32    0x009b1b46 0x009b1b46 WEAK   OBJ    28         typeinfo name for cocos2d::CCSceneDelegate
33    0x001da6c0 0x001da6c0 WEAK   FUNC   48         _JNIEnv::CallStaticObjectMethod(_jclass*, _jmethodID*, ...)
34    0x001da6f0 0x001da6f0 WEAK   FUNC   48         _JNIEnv::CallStaticBooleanMethod(_jclass*, _jmethodID*, ...)
35    0x001da720 0x001da720 WEAK   FUNC   48         _JNIEnv::CallStaticVoidMethod(_jclass*, _jmethodID*, ...)
36    0x001da750 0x001da750 GLOBAL FUNC   364        PlatformToolbox::getUniqueUserID()
